id,name,address,map_link,latitude,longitude,rating,open_hours,website,phone
26,"Jollibee Vietnam Co.,ltd.","393 Group 08, Vu Street, Tran Hung Dao Street, Bắc Ninh 790000 Đồng Bằng Sông Hồng",https://www.bing.com/maps?cp=20.953214645385742%7E107.08560180664062&lvl=17.0&q=Jollibee%20Vietnam%20Co.%2Cltd.%20%2C%20393%20Group%2008%2C%20Vu%20Street%2C%20Tran%20Hung%20Dao%20Street%2C%20B%E1%BA%AFc%20Ninh%20790000%20%C4%90%E1%BB%93ng%20B%E1%BA%B1ng%20S%C3%B4ng%20H%E1%BB%93ng,20.95321465,107.0856018,,,,0222 3854 857
27,Tôm Hùm Hạ Long,"ngõ 31 Trần Phú, Cao Xanh, Thành phố Hạ Long, Quảng Ninh, Việt Nam",https://www.bing.com/maps?cp=20.960464477539062%7E107.08678436279297&lvl=17.0&q=T%C3%B4m%20H%C3%B9m%20H%E1%BA%A1%20Long%20%2C%20ng%C3%B5%2031%20Tr%E1%BA%A7n%20Ph%C3%BA%2C%20Cao%20Xanh%2C%20Th%C3%A0nh%20ph%E1%BB%91%20H%E1%BA%A1%20Long%2C%20Qu%E1%BA%A3ng%20Ninh%2C%20Vi%E1%BB%87t%20Nam,20.96046448,107.0867844,,,,
28,Fanny Ice cream - Vincom Ha Long,"Cot Dong Ho Area, Bach Dang Ward, Floor L4.K1, Vincom Halong Bay",https://www.bing.com/maps?cp=20.951711654663086%7E107.08535766601562&lvl=17.0&q=Fanny%20Ice%20cream%20-%20Vincom%20Ha%20Long%20%2C%20Cot%20Dong%20Ho%20Area%2C%20Bach%20Dang%20Ward%2C%20Floor%20L4.K1%2C%20Vincom%20Halong%20Bay,20.95171165,107.0853577,,,,
29,Highlands Coffee Vinhomes Dragon Hạ Long,"dịch vụ cao cấp, Khu Bến Đoan, Hồng Gai, Thành phố Hạ Long, Quảng Ninh 01000, Việt Nam",https://www.bing.com/maps?cp=20.94263458251953%7E107.11934661865234&lvl=17.0&q=Highlands%20Coffee%20Vinhomes%20Dragon%20H%E1%BA%A1%20Long%20%2C%20d%E1%BB%8Bch%20v%E1%BB%A5%20cao%20c%E1%BA%A5p%2C%20Khu%20B%E1%BA%BFn%20%C4%90oan%2C%20H%E1%BB%93ng%20Gai%2C%20Th%C3%A0nh%20ph%E1%BB%91%20H%E1%BA%A1%20Long%2C%20Qu%E1%BA%A3ng%20Ninh%2001000%2C%20Vi%E1%BB%87t%20Nam,20.94263458,107.1193466,,,https://www.highlandscoffee.com.vn/,
30,Hẻm Phố Hòn Gai,"46 Phố Hải Minh, Hồng Hải, Thành phố Hạ Long, Quảng Ninh, Việt Nam",https://www.bing.com/maps?cp=20.95168685913086%7E107.10258483886719&lvl=17.0&q=H%E1%BA%BBm%20Ph%E1%BB%91%20H%C3%B2n%20Gai%20%2C%2046%20Ph%E1%BB%91%20H%E1%BA%A3i%20Minh%2C%20H%E1%BB%93ng%20H%E1%BA%A3i%2C%20Th%C3%A0nh%20ph%E1%BB%91%20H%E1%BA%A1%20Long%2C%20Qu%E1%BA%A3ng%20Ninh%2C%20Vi%E1%BB%87t%20Nam,20.95168686,107.1025848,,,https://m.facebook.com/HemPhoHonGai/?tsid=0.49768624260512373&source=result,
31,Linh Dan Restaurant,104 Bai Chay Bai Chay 200000 Quang Ninh Province,https://www.bing.com/maps?cp=20.956445693969727%7E107.0458755493164&lvl=17.0&q=Linh%20Dan%20Restaurant%20%2C%20104%20Bai%20Chay%20Bai%20Chay%20200000%20Quang%20Ninh%20Province,20.95644569,107.0458755,4.5,Open · Closes 9 PM,,091 463 45 98
32,Nha Hang Hong Hanh,Duong Ha Long Halong Bay Vietnam Quang Ninh Province,https://www.bing.com/maps?cp=20.956544876098633%7E107.05574035644531&lvl=17.0&q=Nha%20Hang%20Hong%20Hanh%20%2C%20Duong%20Ha%20Long%20Halong%20Bay%20Vietnam%20Quang%20Ninh%20Province,20.95654488,107.0557404,4.0,,,0203 3812 345
33,"Srirembau Restaurant, Bai Chay",179 Cai Lan Street Bai Chay 200000 Quang Ninh Province,https://www.bing.com/maps?cp=20.962209701538086%7E107.05044555664062&lvl=17.0&q=Srirembau%20Restaurant%2C%20Bai%20Chay%20%2C%20179%20Cai%20Lan%20Street%20Bai%20Chay%20200000%20Quang%20Ninh%20Province,20.9622097,107.0504456,,Open · Closes 10 PM,https://www.facebook.com/halonghalalrestaurent/,096 693 39 21
34,BMC Hai Au Restaurant,Area 5 - Ha Long City - Quang Ninh Halong Bay 10000,https://www.bing.com/maps?cp=20.959321975708008%7E107.06037139892578&lvl=17.0&q=BMC%20Hai%20Au%20Restaurant%20%2C%20Area%205%20-%20Ha%20Long%20City%20-%20Quang%20Ninh%20Halong%20Bay%2010000,20.95932198,107.0603714,,Open · Closes 10 PM,,0333 845 065
35,Bánh Cuốn Nóng Bà Ngân,"34,Phố Đoàn Thị Điểm Bạch Đằng 01108 Quảng Ninh",https://www.bing.com/maps?cp=20.95130729675293%7E107.07915496826172&lvl=17.0&q=B%C3%A1nh%20Cu%E1%BB%91n%20N%C3%B3ng%20B%C3%A0%20Ng%C3%A2n%20%2C%2034%2CPh%E1%BB%91%20%C4%90o%C3%A0n%20Th%E1%BB%8B%20%C4%90i%E1%BB%83m%20B%E1%BA%A1ch%20%C4%90%E1%BA%B1ng%2001108%20Qu%E1%BA%A3ng%20Ninh,20.9513073,107.079155,,,,090 454 46 26
36,Four Seasons Restaurant,"08 Ha Long Road, Halong Plaza Hotel Bai Chay 200000",https://www.bing.com/maps?cp=20.958999633789062%7E107.04949951171875&lvl=17.0&q=Four%20Seasons%20Restaurant%20%2C%2008%20Ha%20Long%20Road%2C%20Halong%20Plaza%20Hotel%20Bai%20Chay%20200000,20.95899963,107.0494995,5.0,Open · Closes 10 PM,http://www.halongplaza.com/four-seasons-restaurant.html,0203 3845 810
37,Vinace Italian Restaurant & Bar,10 Ha Long Bai Chay 200000 Quang Ninh Province,https://www.bing.com/maps?cp=20.95644760131836%7E107.05066680908203&lvl=17.0&q=Vinace%20Italian%20Restaurant%20%26%20Bar%20%2C%2010%20Ha%20Long%20Bai%20Chay%20200000%20Quang%20Ninh%20Province,20.9564476,107.0506668,5.0,Open · Closes 11 PM,,094 242 55 33
38,Nha Hang Ara,Nguyen Van Linh Bai Chay 200000 Quang Ninh Province,https://www.bing.com/maps?cp=20.958820343017578%7E107.0602798461914&lvl=17.0&q=Nha%20Hang%20Ara%20%2C%20Nguyen%20Van%20Linh%20Bai%20Chay%20200000%20Quang%20Ninh%20Province,20.95882034,107.0602798,,,,093 680 18 49
39,Cong Ca Phe,"Ha Long Street, Ki Ot C101 - C201, Sunworld Park Bai Chay 20000",https://www.bing.com/maps?cp=20.952795028686523%7E107.04546356201172&lvl=17.0&q=Cong%20Ca%20Phe%20%2C%20Ha%20Long%20Street%2C%20Ki%20Ot%20C101%20-%20C201%2C%20Sunworld%20Park%20Bai%20Chay%2020000,20.95279503,107.0454636,4.0,Open · Closes 11:30 PM,https://congcaphe.com/,091 186 64 94
40,Ca Muc Ba Gia - Seafood Restaurant,"C123 Ha Long, Opposite Ha Long Bay hotel Bai Chay 200000",https://www.bing.com/maps?cp=20.95319175720215%7E107.0446548461914&lvl=17.0&q=Ca%20Muc%20Ba%20Gia%20-%20Seafood%20Restaurant%20%2C%20C123%20Ha%20Long%2C%20Opposite%20Ha%20Long%20Bay%20hotel%20Bai%20Chay%20200000,20.95319176,107.0446548,,,https://www.facebook.com/CaMucBaGia.vn/,0888 331 233
41,Vanakam Indian Family Restaurant,"179 Hải Quân, Bãi Cháy Ha Long",https://www.bing.com/maps?cp=20.950450897216797%7E107.07335662841797&lvl=17.0&q=Vanakam%20Indian%20Family%20Restaurant%20%2C%20179%20H%E1%BA%A3i%20Qu%C3%A2n%2C%20B%C3%A3i%20Ch%C3%A1y%20Ha%20Long,20.9504509,107.0733566,5.0,Closed · Opens 10 AM,,093 685 59 18
42,Mixue Sun World,C110 Sunworld Park Bai Chay 200000,https://www.bing.com/maps?cp=20.95591926574707%7E107.04934692382812&lvl=17.0&q=Mixue%20Sun%20World%20%2C%20C110%20Sunworld%20Park%20Bai%20Chay%20200000,20.95591927,107.0493469,,Open · Closes 11:30 PM,,090 206 06 99
43,RuNam Bistro,"1st Floor, Vincom Plaza, Cot Dong Ho Area, Bach Dang Ward Bai Chay 200000",https://www.bing.com/maps?cp=20.951602935791016%7E107.08540344238281&lvl=17.0&q=RuNam%20Bistro%20%2C%201st%20Floor%2C%20Vincom%20Plaza%2C%20Cot%20Dong%20Ho%20Area%2C%20Bach%20Dang%20Ward%20Bai%20Chay%20200000,20.95160294,107.0854034,,,,0203 7308 899
44,Nha Hang Khai Huong,01 Le Thanh Tong Hong Gai Ha Long 200000 Quang Ninh Province,https://www.bing.com/maps?cp=20.95761489868164%7E107.06767272949219&lvl=17.0&q=Nha%20Hang%20Khai%20Huong%20%2C%2001%20Le%20Thanh%20Tong%20Hong%20Gai%20Ha%20Long%20200000%20Quang%20Ninh%20Province,20.9576149,107.0676727,,Open · Closes 11:30 PM,https://nhahangkhaihuong.com/,0203 3838 888
45,Bayview Restaurant,"2nd Floor, Vinpearl Resort & Spa Ha Long, Reu Island Bai Chay 200000 Quang Ninh Province",https://www.bing.com/maps?cp=20.959306716918945%7E107.04776763916016&lvl=17.0&q=Bayview%20Restaurant%20%2C%202nd%20Floor%2C%20Vinpearl%20Resort%20%26%20Spa%20Ha%20Long%2C%20Reu%20Island%20Bai%20Chay%20200000%20Quang%20Ninh%20Province,20.95930672,107.0477676,4.0,,,0203 3556 868
46,Cafe Nam Anh,Phố Hàng Than Hồng Gai 01106 Quảng Ninh,https://www.bing.com/maps?cp=20.95399284362793%7E107.07074737548828&lvl=17.0&q=Cafe%20Nam%20Anh%20%2C%20Ph%E1%BB%91%20H%C3%A0ng%20Than%20H%E1%BB%93ng%20Gai%2001106%20Qu%E1%BA%A3ng%20Ninh,20.95399284,107.0707474,,,,091 685 45 77
47,Cafe Nam Phong,8 Ha Long Halong Bay,https://www.bing.com/maps?cp=20.951465606689453%7E107.04190826416016&lvl=17.0&q=Cafe%20Nam%20Phong%20%2C%208%20Ha%20Long%20Halong%20Bay,20.95146561,107.0419083,,,,093 368 62 22
48,Hai Cang Ha Long Restaurant,Quarter 5 Bai Chay 200000,https://www.bing.com/maps?cp=20.95421028137207%7E107.04557800292969&lvl=17.0&q=Hai%20Cang%20Ha%20Long%20Restaurant%20%2C%20Quarter%205%20Bai%20Chay%20200000,20.95421028,107.045578,,,,1900 0316
49,Ngoc Luc Bao Restaurant,"Old Bai Chay Ferry, road travel Halong City Halong Bay 200000",https://www.bing.com/maps?cp=20.953643798828125%7E107.02375793457031&lvl=17.0&q=Ngoc%20Luc%20Bao%20Restaurant%20%2C%20Old%20Bai%20Chay%20Ferry%2C%20road%20travel%20Halong%20City%20Halong%20Bay%20200000,20.9536438,107.0237579,,Open · Closes 10 PM,https://www.facebook.com/nhahangngoclucbao/,096 915 98 88
50,Oriental Lotus Restaurant - Buffet Sen A Dong,01 Ha Long Bai Chay 200000,https://www.bing.com/maps?cp=20.954435348510742%7E107.02425384521484&lvl=17.0&q=Oriental%20Lotus%20Restaurant%20-%20Buffet%20Sen%20A%20Dong%20%2C%2001%20Ha%20Long%20Bai%20Chay%20200000,20.95443535,107.0242538,3.5,Closed · Opens 11 AM,https://buffetsenadong.vn/,0832 981 666
51,The Square Restaurant,"160 Ha Long Street, Bai Chay Ward, Novotel Halong Bay",https://www.bing.com/maps?cp=20.951374053955078%7E107.0421371459961&lvl=17.0&q=The%20Square%20Restaurant%20%2C%20160%20Ha%20Long%20Street%2C%20Bai%20Chay%20Ward%2C%20Novotel%20Halong%20Bay,20.95137405,107.0421371,3.5,,https://novotelhalongbay.com/restaurants-bars/the-square/?utm_source=bing+maps&utm_medium=seo+maps&utm_campaign=seo+maps,0203 3848 108
52,Cua Vang Restaurant,"Bai Chay Ward, Tuan Chau District Halong Bay",https://www.bing.com/maps?cp=20.959354400634766%7E107.01885986328125&lvl=17.0&q=Cua%20Vang%20Restaurant%20%2C%20Bai%20Chay%20Ward%2C%20Tuan%20Chau%20District%20Halong%20Bay,20.9593544,107.0188599,4.0,Open · Closes 10 PM,,
53,Nhà Hàng Ngọc Phương Nam Hạ Long,Do Si Hoa St. Bai Chay 200000,https://www.bing.com/maps?cp=20.94800567626953%7E107.02336120605469&lvl=17.0&q=Nh%C3%A0%20H%C3%A0ng%20Ng%E1%BB%8Dc%20Ph%C6%B0%C6%A1ng%20Nam%20H%E1%BA%A1%20Long%20%2C%20Do%20Si%20Hoa%20St.%20Bai%20Chay%20200000,20.94800568,107.0233612,5.0,Closed · Opens 10 AM,,090 159 95 98
54,Don Chicken,581 Ha Long Bai Chay 200000 Quang Ninh Province,https://www.bing.com/maps?cp=20.96009063720703%7E107.02114868164062&lvl=17.0&q=Don%20Chicken%20%2C%20581%20Ha%20Long%20Bai%20Chay%20200000%20Quang%20Ninh%20Province,20.96009064,107.0211487,3.0,Closed · Opens 11 AM,https://donchickenhanoi.vn/,1900 988992
55,Hon Gai Coffee & Lounge,"Kiosk B120-121, Old Street Sun World Ha Long Park Bai Chay 200000 Quang Ninh Province",https://www.bing.com/maps?cp=20.95611572265625%7E107.05199432373047&lvl=17.0&q=Hon%20Gai%20Coffee%20%26%20Lounge%20%2C%20Kiosk%20B120-121%2C%20Old%20Street%20Sun%20World%20Ha%20Long%20Park%20Bai%20Chay%20200000%20Quang%20Ninh%20Province,20.95611572,107.0519943,,Open · Closes 1 AM,https://www.facebook.com/Hongaicoffee/,097 757 00 55
56,Gogi House,L4 01-02 Vincom Center Ha Long Ha Long 200000 Hanoi,https://www.bing.com/maps?cp=20.953670501708984%7E107.0250473022461&lvl=17.0&q=Gogi%20House%20%2C%20L4%2001-02%20Vincom%20Center%20Ha%20Long%20Ha%20Long%20200000%20Hanoi,20.9536705,107.0250473,,,http://gogi.com.vn/vi,0203 2460 586
57,Chả Mực Hạ Long,"Kiot Số 5 Cổng Số 2 Chợ Cái Dăm Phường Bãi Cháy, Ha Long, 12345, Vietnam Ha Long 01000 Quảng Ninh",https://www.bing.com/maps?cp=20.957996368408203%7E107.0236587524414&lvl=17.0&q=Ch%E1%BA%A3%20M%E1%BB%B1c%20H%E1%BA%A1%20Long%20%2C%20Kiot%20S%E1%BB%91%205%20C%E1%BB%95ng%20S%E1%BB%91%202%20Ch%E1%BB%A3%20C%C3%A1i%20D%C4%83m%20Ph%C6%B0%E1%BB%9Dng%20B%C3%A3i%20Ch%C3%A1y%2C%20Ha%20Long%2C%2012345%2C%20Vietnam%20Ha%20Long%2001000%20Qu%E1%BA%A3ng%20Ninh,20.95799637,107.0236588,,,https://chamucphuc.com/,098 368 35 16
58,District 8 Bar/Club,Kios C138 - C139 Sunworld Halong Complex Halong Bay,https://www.bing.com/maps?cp=20.952388763427734%7E107.04400634765625&lvl=17.0&q=District%208%20Bar%2FClub%20%2C%20Kios%20C138%20-%20C139%20Sunworld%20Halong%20Complex%20Halong%20Bay,20.95238876,107.0440063,,Open 24 hours,https://www.facebook.com/dist8.halong/,093 224 94 34
59,Kim Hang Restaurant,"Lot 7, Hung Thang East Section, Bai Chay Ward, Bãi Cháy Quảng Ninh",https://www.bing.com/maps?cp=20.956613540649414%7E107.02284240722656&lvl=17.0&q=Kim%20Hang%20Restaurant%20%2C%20Lot%207%2C%20Hung%20Thang%20East%20Section%2C%20Bai%20Chay%20Ward%2C%20B%C3%A3i%20Ch%C3%A1y%20Qu%E1%BA%A3ng%20Ninh,20.95661354,107.0228424,,,,0203 3846 809
