company_id,company_name
191,CÔNG TY TNHH DU LỊCH DỊCH VỤ TAM ĐẢO
192,CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI DU LỊCH KIM SA
193,CÔNG TY CỔ PHẦN DU LỊCH THÀNH THÀNH CÔNG
194,Best Western Premier Sapphire Halong
195,The Grand Ho Tram 
196,Đà Lạt Palace Heritage 
197,Du Parc Hotel Đà Lạt
198,MerPerle Đà Lạt Hotel
199,Roy Dala Hotel Đà Lạt
200,Akoya Saigon Central Hotel 
201," 282 Võ Nguyên Giáp, Ngũ Hành Sơn, Đà Nẵng , Da Nang, "
202,Cap Town Hotel Sài Gòn
203, Nikko Sài Gòn Hotel
204,Mia Saigon Luxury Boutique Hotel
205,Somerset Hồ Chí Minh Hotel
206,An Lâm Retreats Saigon River
207,Eden Huế Hotel
208,TTC Imperial Hotel Huế 
209,Melia Vinpearl Hotel Huế 
210,Mường Thanh Grand Gia Lai
211,Golden Boutique Hotel Măng Đen 
212,Stella Maris Beach Đà Nẵng
213,Ninh Bình Hidden Charm Hotel & Resort
214,Ninh Bình Legend Hotel
215,Công ty cổ phần Heritage Cruises
216,Tập đoàn du lịch Hương Hải
217,Công ty CPTM Du lịch HMT
218,Tập đoàn Pelican 
219,Công ty cổ phần du thuyền quốc tế Hạ Long
220,Paradise Group
221,Công ty  Du Lịch Châu Á Thái Bình Dương
222,Công ty TNHH THD travel Việt Nam
223,Tập đoàn Paradise
224,Công ty cổ phần du thuyền Genesis Việt Nam
225,Công ty cổ phần thương mại và dịch vụ Sư Tư châu Á
226,CÔNG TY CỔ PHẦN DU THUYỀNHERMES
227,Công ty du thuyền Aclass
228,Công ty cổ phần đầu tư du lịch Renea
229,Công ty Cổ phần đầu tư Việt Star Cruise
230,Tập đoàn Pelican
231,Công ty TNHH Scarlet Pearl Hạ Long
232,Pelican Group
233,Công ty cổ phần đầu tư du lịch Thiên Nga
234,Big Bay Group
235,Erina Group
236,Công ty cổ phần du lịch Quốc Tế Athena Cruise
237,Công ty du thuyền Doris
238,Công ty TNHH du thuyền La Casta
239,Công ty TNHH Sen Hoàng Gia
240,Công ty TNHH vận tải Alisa
241,Công ty CPTM & ĐT Du Thuyền Quốc Tế
242,Công ty Cổ phần tập đoàn HALO ECO
243,Công ty TNHH du thuyền Rosa
244,Công ty TNHH MTV Dịch Vụ Du Lịch VIT Hạ Long
245,Công ty du thuyền Sea Stars Hạ Long
246,Elegance Hospitality Group
247,SEALIFE GROUP 
248,M’GLORIA GROUP
249,Công ty du thuyền Verdure Lotus
250,Công ty du thuyên Verdure Lotus
251,Công ty TNHH du thuyền Bhaya
252,Du thuyền Iris
253,Công ty Saquila Hospitality 
254,Công ty cổ phần những cánh buồm Phương Đông
255,Bigbay Group
256,APC Group
257,CÔNG TY CỔ PHẦN HẠ LONG PACIFIC
258,HƯƠNG HẢI GROUP
259,"Công ty TNHH Thương mại, Dịch vụ, Du lịch Minh Loan"
260,Vedure Lotus Cruise
